qtype_Computational,qtype_Descriptive,qtype_Differentiate,qtype_Discrete,qtype_Mathematical,qtype_Other,qtype_Proof,qtype_Statistical,qtype_What,keyword_count,keyword_tfidf,sentence_count,readability_scores,avg_word_length,difficulty_level_encoded
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4.421824416429631,0,32.0,5.142857142857143,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,7.090683009096725,2,45.33580246913581,5.0,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,5.066584659431022,3,29.866666666666664,6.181818181818182,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,5.222024755425765,2,34.11428571428572,5.227272727272728,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,6.644717066379981,4,24.422222222222224,4.724137931034483,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3.67572046434072,1,34.800000000000004,6.666666666666667,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,5.392906376156237,2,27.0,7.333333333333333,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4.366527074417663,1,34.71111111111112,5.2,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,5.064880735538097,2,35.0,6.0,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5.3520241296650735,2,30.0,5.636363636363637,2.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6,4.777855935627457,2,35.37894736842105,6.5,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,4.110016389873223,2,33.27368421052631,4.3,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,6.931597566835701,2,37.43720930232558,5.8,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4.238378163359338,0,26.738461538461536,4.125,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4.601134684027978,0,33.333333333333336,5.2105263157894735,2.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,5.282300111157464,1,32.0,6.714285714285714,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4.960432958391534,2,31.371428571428574,7.0,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4.228719976935506,1,38.0,5.555555555555555,2.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4.663340062922414,2,37.484210526315785,6.727272727272728,2.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,4.732618445541323,1,34.71111111111112,8.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,4.954343103951998,1,41.400000000000006,5.571428571428571,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4.554580479388891,2,38.94545454545455,6.454545454545454,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4.21418584569015,1,33.49090909090909,7.166666666666667,1.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4.8761826864957785,1,38.13333333333334,5.428571428571429,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,4.328850730880292,0,29.6,4.428571428571429,2.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12,5.860249428891784,1,39.05,5.1875,2.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,5.12710032455076,2,29.066666666666663,5.8,2.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3.8876718621760418,1,38.0,5.857142857142857,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4.367003075316014,2,33.2,6.333333333333333,1.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,4.751800185014131,1,38.2,8.4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,6.369386509691895,2,25.65714285714286,6.666666666666667,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6,4.299139613665687,1,37.38823529411765,6.0,1.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4,5.34074110532146,1,33.49090909090909,6.857142857142857,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,5.279271069837359,3,37.86666666666667,5.518518518518518,2.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,7.249849007178018,3,38.60606060606061,5.53125,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,4.903681684461813,3,30.89275362318841,5.461538461538462,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,5.840414952062446,2,26.92941176470589,4.875,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,5.419783698649198,2,31.16842105263158,5.5,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,5.068507451239068,1,40.74594594594595,4.523809523809524,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6.7297986178615,2,28.0,5.4,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4.14145483552343,1,35.969230769230776,6.75,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.364827122560825,1,29.066666666666663,7.0,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3.708345551300001,1,31.31428571428572,4.875,2.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3.704333137422665,2,29.066666666666663,4.8,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4.016327401686425,1,28.200000000000003,5.25,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4.4645605441502685,0,22.742857142857144,3.25,2.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,5.277138847488068,3,35.56666666666666,5.208333333333333,2.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,5.919491026564292,3,34.83577235772358,5.333333333333333,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,6.209737276992397,3,39.87956989247312,6.033333333333333,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4.427499657008482,2,28.044444444444448,5.444444444444445,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,5.840414952062446,2,26.92941176470589,5.375,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,5.419783698649198,2,31.16842105263158,5.5,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.595876182747473,1,29.066666666666663,7.666666666666667,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,5.011058908598482,1,41.82702702702703,4.571428571428571,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.722797441392361,2,30.0,5.25,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3.736238495214277,1,31.31428571428572,5.25,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4.14145483552343,1,35.969230769230776,6.75,1.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.338167273166923,1,34.0,6.666666666666667,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4.327234008066755,0,22.742857142857144,3.75,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,4.150245543385999,2,34.0,6.166666666666667,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.6030600179709737,1,38.2,5.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4.301373526264952,2,31.371428571428574,5.285714285714286,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.790213333129637,1,34.0,7.25,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3.9823938388869977,2,34.92727272727273,7.0,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.852935977069459,2,32.4,5.857142857142857,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.5823982249203805,2,28.466666666666665,7.2,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.729645682084351,1,37.08571428571428,6.0,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4.518050283478597,2,29.066666666666663,7.5,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4.367682381426152,0,30.059259259259264,4.071428571428571,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5.1894098079546085,2,31.371428571428574,6.222222222222222,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.828875182146668,2,31.6,6.166666666666667,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.107199613063293,2,27.654545454545453,5.666666666666667,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5.639286896641696,2,32.4,7.833333333333333,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5.0869765798247,2,28.51428571428572,5.285714285714286,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4.619478869586653,2,27.654545454545453,4.8,2.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4.323819256610681,2,27.21538461538462,4.833333333333333,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.650876923279416,2,26.0,5.5,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,5.414616314745422,1,34.71111111111112,7.666666666666667,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4.326782069624449,2,28.466666666666665,7.6,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3.766151390669471,1,29.066666666666663,8.333333333333334,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4.574769796268583,0,34.33548387096774,4.666666666666667,2.0
